u,index,original,predicted_stage3,stage4_valid,reduced_tokens,text
2,9,1,1,0,caps text caps text caps text caps text contact text,"NOKIA o Motorola GRATIS con hasta 12 meses de alquiler lineal a 1/2 precio, 500 minutos x-net GRATIS y 100 txt/mes GRATIS B'tooth*. Llame a Mobileupd8 al 08001950382 o llame a 2optout/D3WV"
2,15,1,1,0,text contact text caps text caps text caps text,"¡Llame al 09094100151 para usar sus minutos! Las llamadas se emiten a 10 p/min (la mafia varía). Servicio proporcionado por AOM, solo 5 GBP al mes. AOM Box61,M60 1ER hasta que te detengas. ¡Solo mayores de 18 años!"
2,22,1,1,0,text contact text,¿Quieres un nuevo videoteléfono? 750 en cualquier momento ¿algún minuto de red? ¿Alquiler de línea a mitad de precio y texto gratis durante 3 meses? Responde o llama al 08000930705 para envío gratis
2,31,1,1,0,text caps caps caps text,Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!
2,39,1,1,0,text caps caps caps text,Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!
2,49,1,1,0,text contact text,"Su saldo de efectivo es actualmente de 500 libras; para maximizar su ingreso de efectivo, envíe GO al 86688 solo 150 peniques/mensaje. CC 08718720201 HG/Suite342/2Fila de tierras/W1J6HL"
2,59,1,1,0,text caps text contact text caps text,¿Quieres SEXO explícito en 30 segundos? Llama al 02073162414 ahora! Cuesta 20p/min Gsex POBOX 2667 WC1N 3XX
2,62,1,1,0,caps text caps caps text caps text caps text contact text money text,"TONO DE LLAMADA GRATIS envía un mensaje de texto PRIMERO al 87131 para obtener un poli o envía un mensaje de texto ¡LLEGA al 87131 para obtener un tono verdadero! ¿Ayuda? 0845 2814032 16 después del primero gratis, los tonos son 3xå£150pw para finalizar la parada de texto"
2,66,1,1,0,text caps text caps text contact text caps text,Chat duro LIVE 121 a solo 60p/min. Elige a tu chica y conéctate EN VIVO. Llama ahora al 09094646899! El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX
2,76,1,1,0,caps text caps text contact text,¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04
2,86,1,1,0,text money text caps text,Gracias por su continuo apoyo. Su pregunta de esta semana participará en nuestro sorteo de £100 en efectivo. ¿Nombre al NUEVO presidente de los Estados Unidos? texto y respuesta a 80082
2,88,1,1,0,contact caps text caps text caps text contact text,+449071512431 ¡URGENTE! ¡Este es el segundo intento de contactar a U! U ha GANADO £ 1250 LLAME AL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. costo de llamada 150ppm móvilesvariar. máximo £ 7. 50
2,93,1,1,0,text money text money text contact text caps text,"¡Has ganado 1.000€ en efectivo o un premio de 2.000€! Para reclamar llamar al 09050000327. Términos y condiciones: RSTM, SW7 3SS. 150 ppm"
2,100,1,1,0,text money text,"¿Quieres echar un polvo? ¿Quieres que se envíen ubicaciones reales de Doggin directamente a tu móvil? Únase a la red de perros más grande del Reino Unido. Envía mensajes de texto a los perros al 69696 ahora! nyt. ec2a. 3lp å£1,50/mensaje."
2,114,1,1,0,text contact,"Gracias por su pedido de tono de llamada, número de referencia X29. Tu móvil se cargará 4,50. Si su tono no llega, llame a atención al cliente 09065989180"
2,115,1,1,0,text contact text caps text caps text caps text caps text caps text,"Hola, 07734396839 Oferta de fidelización del cliente de IBH: ¡El NUEVO móvil NOKIA6600 desde SÓLO £ 10 en TXTAUCTION! Envíe un mensaje de texto: COMIENCE al número: 81151 y obtenga el suyo ahora."
2,121,1,1,0,text caps text caps text caps text,"¿Tenías tu contrato de móvil de 11 meses? ¡Lo último de Motorola, Nokia, etc., todo GRATIS! Doble Minutos y Textos en tarifas Orange. ENVÍA UN MENSAJE SÍ para devolver la llamada, no para eliminarlo de los registros."
2,123,1,1,0,text contact,"Como cliente valioso, me complace informarle que después de una revisión reciente de su número de Mob, recibirá un premio de bonificación de £ 1500, llame al 09066364589."
2,128,0,1,0,text caps text caps caps text caps caps caps text caps caps caps text caps text caps caps text,¿CÓMO ESTÁS? ¡TE HE EXTRAÑADO! ¡NO HE ESTADO MUCHO ABURRIDO DE LAS VACACIONES! ¡QUIERO IR A BAK 2 UNIVERSIDAD! TRISTE ¿NO? xx
2,157,1,1,0,text caps text money text caps text money text,UR otorgó un City Break y podría GANAR unas compras de verano de £200 cada semana. Envíe un mensaje de texto a STORE al 88039.SkilGme.TsCs087147403231Winawk!Edad16+å£1.50porWKsub
2,159,1,1,0,text contact text,"¡Felicitaciones! 2 Videoteléfonos móviles 3G R tuyos. llama al 09061744553 ahora! chatea por video con tus amigos, juega juegos java, descarga música poliH, no hay alquiler en línea. bx420. ip4. 5nosotros. 150 p.m."
2,166,1,1,0,text caps text contact text caps caps text contact,"Tienes un admirador secreto. REVELA quién piensa que eres tan especial. Llame al 09065174042. Para cancelar su suscripción, responda REVEAL STOP. 1.50 por mensaje registrado. Atención al cliente 07821230901"
2,174,1,1,0,text money text money text contact text,Usted es un ganador y ha sido seleccionado especialmente para recibir £1000 en efectivo o un premio de £2000. Hable con un operador en vivo para reclamar llame al 087147123779 am-7 pm. Cuesta 10p
2,175,0,1,0,text caps caps caps caps text caps caps caps text caps caps text caps text caps caps,MI NOCHEVIEJA ESTUVO BIEN. FUI A UNA FIESTA CON MI NOVIO. QUIEN ES ESTE SI ENTONCES HEY
